ItemNumber;ItemDescription;ItemDescription2;ProductGroup;ProductType;UnitOfMeasure;DealerPrice;RetailPrice;CatalogCode;GrossWeight;"PartDescription - DE"
20401294;"LIGHT DASH YELLOW LED";"LIGHT DASH STINGERZ SINGLE LED YELLOW";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;1.88;2.74;"A;R;U;V";0.024;"Individuelle LED</br></br><li>Perfekt geeignet, um einen Lichteffekt zu erzeugen</li><li>Ideal als Schaltlicht, Armaturenbrettbeleuchtung, Zusatzbeleuchtung und Armaturenbeleuchtung</li><li>Direkter 12V-DC-Anschluss, kein Widerstand erforderlich</li><li>Mit 91 cm (3 Fuß) langem Kabel mit 22 AWG und schwarzer Ummantelung</li></br></br>"
20401312;"LIGHT BULLET DUAL MARKER";"BILLET BULLET  CLUSTER BRAKE/TURN SIGNAL 48LEDs";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";KT;99.50;145.25;"R;U";0.61;"Zweifarbige LED-Bullet-Positionsleuchten</br></br><li>Zweifarbige LEDs mit rotem äußeren Kreis für Rück-/Bremslicht und gelbem inneren Ring für Blinker</li><li>Aus 6061 T-6 Aluminium in Luftfahrtqualität mit glänzend verchromter Oberfläche</li><li>Edelstahl-Montagematerial</li><li>5/16”-24 Montagebolzen</li><li>Nicht DOT-konform</li><li>WICHTIG: DOT-Zertifizierung gilt nur in den USA</li></br></br>"
20401601;"LIGHT FLEX2 3 LED WHITE";"ACCENT LIGHTS MAGICFLEX 2 LOW- PROFILE LED WHITE";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;14.94;21.81;"A;P;R;U";0.04;"MagicFLEX2® LED-Zierlichtstreifen mit flachem Profil</br></br><li>Vormontiert mit 3M®-Klebeband</li><li>Extrem vielseitig und flexibel</li><li>Leistungsstarke 5050 SMD-LEDs</li><li>120° Blickwinkel</li><li>Mit Schutzbeschichtung für 100 % Wasserdichtigkeit</li><li>Montageblöcke und Montage-Stickz erhältlich für eine einfachere Befestigung</li><li>Optionaler Black Magic III Fernbedienung Art.-Nr. 2050-0182 ermöglicht Strobe- und Atemlicht, separat erhältlich.</li><li>Montageoptionen separat erhältlich.</li></br></br>"
20402001;"LIGHT 40 TRUFLEX2 RED/SMK";"FLEXIBLE 40LED LIGHTING STRIPS TRUFLEX II RED/SMOKE";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;36.25;52.92;"A;E;P;R;U";0.022;"TruFLEX® II Flexibles LED-Band</br></br><li>Viermal heller als die originalen TruFlex®-Leuchten</li><li>Hochflexibel mit einzigartigem Facettendesign für erweiterten Blickwinkel</li><li>Jeder Streifen ist mit hochwertigem Automobilklebeband vorverklebt</li><li>Streifen sind 3/8"" B x 3/8"" H</li><li>Für die Nutzung als Dual-Intensity-3-Draht-System wird ein Dual-Konverter benötigt; separat erhältlich.</li></br></br>"
20402483;"LIGHT DYNAMIC BAR 4.5";"LIGHT DYNAMIC BAR 4.5""";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";PR;129.54;185.05;"A;E;P;R;U";0.195;"Dynamic 4,5"" Amber/White LED-Lichtleiste</br></br><li>21 zweifarbige LEDs pro Einheit</li><li>Gelbes Blinklicht</li><li>Vormontiert mit Klebeband zur Befestigung.</li><li>Integrierte Schnellkupplungen</li></br></br>"
20402852;"MOUNT MAGNETIC RCKLGT";"MOUNT MAGNETIC RCKLGT";"LIGHTING-LICENSE GROUP";"ACCESSORY LIGHT GROUP";EA;58.36;83.37;"B;C;E";0.375;"Magnetische Halterung für Rock Lights</br></br><li>Magnete können an Custom Dynamics® Color Changing Rock Lights für zusätzliche Sicherheit auf magnetischen Oberflächen angebracht werden</li></br></br>"
20600262;"BULB LED CLSTR 1.8""RED";"GENESIS LED CLUSTER 1.8"" 48LEDS/RED";"LIGHTING-LICENSE GROUP";BULBS;EA;17.08;24.93;"A;P;R;U";0.035;"Universelle LED-Cluster</br></br><li>Superhelle LEDs mit großem Abstrahlwinkel</li><li>Jeder Cluster verfügt über drei Kabel (Low, High, Masse) und kann als Einzel- oder Doppelintensität verwendet werden</li></br></br>"
21201156;"WIRE EXTENTN 4' RCK LGHT";"WIRE EXTENTN 4' RCK LGHT";"ELECTRICAL SYSTEM GROUP";"WIRING GROUP";EA;2.99;4.27;"B;C;E";0.036;"Kabelverlängerungen für Rock Lights</br></br><li>Wasserdichte Kabelverlängerungen für ideale Längen bei der Platzierung und Installation von Custom Dynamics® LED Rock Lights</li><li>Plug-and-Play</li></br></br>"
21201157;"WIRE EXTENTN 8' RCK LGHT";"WIRE EXTENTN 8' RCK LGHT";"ELECTRICAL SYSTEM GROUP";"WIRING GROUP";EA;4.18;5.98;"B;C;E";0.059;"Kabelverlängerungen für Rock Lights</br></br><li>Wasserdichte Kabelverlängerungen für ideale Längen bei der Platzierung und Installation von Custom Dynamics® LED Rock Lights</li><li>Plug-and-Play</li></br></br>"
21201158;"WIRE EXTENTN 10' RCK LGHT";"WIRE EXTENTN 10' RCK LGHT";"ELECTRICAL SYSTEM GROUP";"WIRING GROUP";EA;4.77;6.81;"B;C;E";0.073;"Kabelverlängerungen für Rock Lights</br></br><li>Wasserdichte Kabelverlängerungen für ideale Längen bei der Platzierung und Installation von Custom Dynamics® LED Rock Lights</li><li>Plug-and-Play</li></br></br>"
